class,nl,en,orthographic_similarity,meaning_rating,spelling_rating,pronunciation_rating,frequency_per_million_nl,example_sentence_nl
translation-equivalent,reus,giant,0,6.71,1.07,1.07,7.45,"Roald Dahl schreef ""De Grote Vriendelijke Reus""."
translation-equivalent,ridder,knight,0,7,1.25,1.08,13.58,In de vroege Middeleeuwen was de rang van ridder een lage.
translation-equivalent,roem,fame,0,6.92,1.15,1.15,7.98,Met zijn zeefdruk van Marilyn Monroe vergaarde Anthony Warhol eeuwige roem. 
translation-equivalent,ruil,swap,0,6.36,1,1,15.39,Beide jongens waren erg tevreden met de ruil.
translation-equivalent,saai,dull,0.17,6.62,1,1,31.47,De leerlingen vonden de geschiedenislessen maar saai.
translation-equivalent,slager,butcher,0.29,7,1.15,1.15,6.63,Eén van de oudste ambachten is dat van slager.
translation-equivalent,smaak,taste,0,6.73,1.07,1.07,29.18,In juni hebben pruimen een vollere smaak dan in februari.
translation-equivalent,snoep,candy,0,6.79,1,1,12.55,Als je langs de deuren gaat met Halloween krijg je veel snoep.
translation-equivalent,spiegel,mirror,0.14,7,1,1,27.44,Na de operatie durfde ze niet meer in de spiegel te kijken.
translation-equivalent,steeg,alley,0.2,6.92,1,1,8.74,Die man wil je niet 's avonds tegenkomen in een donkere steeg.
translation-equivalent,sterk,strong,0.33,6.92,2.92,2.23,95.22,"Herakles was een Griekse held, zeer intelligent en sterk."
translation-equivalent,taart,pie,0,6.23,1,1,31.35,Voor zijn afscheid hadden zijn collega's een heerlijke taart gemaakt.
translation-equivalent,tante,aunt,0.4,6.86,2,1.64,62.34,Ze gingen graag elk weekend bij hun tante logeren.
translation-equivalent,tas,bag,0.33,7,1.92,1.25,58.36,Ze kon nooit iets vinden in haar rommelige tas.
translation-equivalent,touw,rope,0.25,6.92,1.08,1.08,26.25,In de rechter keukenla lag een rol dik touw.
translation-equivalent,tuin,garden,0.17,6.92,1,1,36.66,"Als ze niet op haar werk was, was ze in de tuin."
translation-equivalent,twijfel,doubt,0,7,1.17,1.33,34.03,"Mijn oma zei altijd tegen me: ""Bij twijfel, niet doen!"""
translation-equivalent,verdrag,treaty,0.14,6.92,1,1,7,In 1992 werd de Europese Unie opgericht met het Verdrag van Maastricht.
translation-equivalent,vloek,curse,0,6.87,1.07,1.07,18.77,Jaren lang dacht men dat er op Toetanchamons tombe een vloek ruste.
translation-equivalent,vogel,bird,0,7,1,1,32.27,De bijkolibrie is de kleinste vogel in de wereld.
translation-equivalent,vrede,peace,0.2,7,1.07,1.07,65.01,"Het was helaas weer mis, na vele jaren van vrede."
translation-equivalent,vuil,dirt,0,6.75,1.17,1.25,24.06,Mensen met smetvrees zijn bang voor vuil.
translation-equivalent,wang,cheek,0,6.87,1,1,7.89,De hamster vervoert voedsel door het in zijn wang te stoppen.
translation-equivalent,woede,anger,0,6.93,1,1,24.95,Sommige mensen uiten hun woede op ongezonde manieren.
translation-equivalent,wortel,carrot,0.17,6.93,1,1.07,6.11,Een ezel kun je altijd blij maken met een wortel.
translation-equivalent,wreed,cruel,0.4,7,1,1,15.18,Het is moeilijk te begrijpen hoe Hitler zo wreed kon zijn.
translation-equivalent,zacht,soft,0.2,6.73,1.8,1.87,22.84,Goede Italiaanse gnocchi zijn zo zacht als een kussentje.
translation-equivalent,zout,salt,0.25,6.71,2.43,2.86,15.5,De klanten waren zeer teleurgesteld dat het eten zo zout was.
translation-equivalent,zwaar,heavy,0.2,7,1.08,1.08,80.84,Een ton veren en een ton bakstenen zijn even zwaar.
translation-equivalent,zwakte,weakness,0.38,7,1.07,1.07,5.9,Oplichters weten goed gebruik te maken van je zwakte.
